Date,Highest High,Highest High Year,Lowest Low,Lowest Low Year
12/11,69,1933,25,1972
12/12,69,1969,18,1932
12/13,72,1929,23,1940
12/14,74,1929,21,1967
12/15,76,1958,25,1975
12/16,70,1958,25,1967
12/17,70,1958,25,1967
12/18,71,1979,26,1965
12/19,74,1981,25,1965
12/20,70,2005,24,1897
12/21,71,1955,23,1897
12/22,70,1964,19,1990
12/23,69,2024,18,1990
12/24,70,1964,20,1990
12/25,72,1902,20,1987
12/26,70,1892,21,1987
12/27,72,1991,23,1962
12/28,67,2023,24,1962
12/29,69,2023,24,1990
12/30,67,2013,24,1969
12/31,69,1997,23,1975
