station_name,lat,long
The Embarcadero at Steuart St,37.791404835,-122.391037549
The Embarcadero at Vallejo St,37.7999523699,-122.398524629
Toland St at Jerrold Ave,37.7438686991,-122.398875073
Torney Ave at Lincoln Blvd,37.7996763919,-122.45259907
Townsend St at 5th St,37.7752320411,-122.397441659
Townsend St at 6th St,37.773235351,-122.399999542
Townsend St at 7th St,37.7710583893,-122.402715984
Turk Blvd at Stanyan St,37.7776087128,-122.454619982
Turk St at Fillmore St,37.7804633106,-122.431923294
Union Square,37.7883068606,-122.408526976
University Ave at Oxford St,37.8723547721,-122.266447544
Valencia St at 24th St,37.7524367698,-122.42063109
Valencia St at Clinton Park,37.7690096294,-122.422249201
Valencia St at Duncan St,37.7469071044,-122.420099414
Vicente St at 26th Ave,37.7389303152,-122.483151741
Victoria Manalo Draves Park,37.7776959417,-122.406300829
Vincente St at Great Hwy,37.7380013,-122.5062969
Vine St at Shattuck Ave,37.880222595,-122.269595001
Virginia St at Shattuck Ave,37.8765724359,-122.269528503
Waller St at Shrader St,37.7683864107,-122.451966205
Washington St at 8th St,37.8007547965,-122.274893683
Washington St at Kearny St,37.7953998076,-122.404688752
Washington St at Van Ness Ave,37.7929797756,-122.423312708
Webster St at 19th St,37.8069738896,-122.266586854
Webster St at 2nd St,37.7951957279,-122.273969364
Webster St at Clay St,37.7907937497,-122.432589052
Webster St at Grove St,37.7770686885,-122.429562842
Webster St at O'Farrell St,37.7835128137,-122.431155776
Webster St at Union St,37.7974411574,-122.43398771
West Crissy Field,37.8038266095,-122.467710085
West Oakland BART,37.8051900496,-122.294618338
West Portal: 15th to Ulloa East,37.7405309565,-122.46635158
West St at 40th St,37.8302256721,-122.270949157
West St at Brockhurst St,37.822685326,-122.272924963
West St at University Ave,37.8699667076,-122.286533117
William St at 10th St,37.3327938,-121.8759263
Williams Ave at 3rd St,37.7292786517,-122.392896116
Williams Ave at Apollo St,37.730079332,-122.3988057
Willow Park,37.8123625496,-122.296096294
Willow St at Blewett Ave,37.3090180569,-121.900004931
Willow St at Vine St,37.3184498,-121.8831724
Woolsey St at Sacramento St,37.8505794101,-122.278172948
Yerba Buena Center for the Arts,37.7848718438,-122.400876529
nan,37.7715805596,-122.416348159
